pathway	sample-53	sample-52	sample-54	sample-70	sample-55
1CMET2-PWY	5306.921225608873	5092.478064535371	4433.442160151572	6735.208675618693	5668.314035554665
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	0.23951723637109018	0.23904831851584277	0.0	0.0
ALL-CHORISMATE-PWY	971.2452666603697	1.2417355539036388	35.71487862127374	0.0	0.0
ANAEROFRUCAT-PWY	3014.596327369566	2575.4473580746517	2363.6773685924604	7520.767718499673	6029.998518860548
ANAGLYCOLYSIS-PWY	6382.262482696939	5992.377615784612	5600.007672396143	8916.525532861378	7260.092866810936
ARG+POLYAMINE-SYN	2772.0423412583214	1461.1780189583292	2677.5479246001514	1552.8212580385082	1559.0729559280762
ARGDEG-PWY	434.1045164553498	0.2797764536378746	12.226002651001773	0.0	0.0
ARGORNPROST-PWY	95.30429296699896	450.4092123224329	253.27154463309452	141.16989480713943	392.5153517022914
ARGSYN-PWY	3768.1461168573496	4334.980896644136	3922.7550929568642	5535.331272728385	5659.590085777898
ARGSYNBSUB-PWY	3800.4722695635014	4276.874335673543	4054.912635202024	5026.218522548142	5538.6182732407315
ARO-PWY	5586.537114106972	5677.2198825092355	5195.536893426961	7871.31764096354	6684.094005917624
ASPASN-PWY	5144.6048628814815	4653.015080491732	4094.721956758214	6801.574367719853	4787.807707915845
AST-PWY	269.67	0.23999999999999996	5.91	0.0	0.0
BIOTIN-BIOSYNTHESIS-PWY	3818.26809254992	2652.2418490501627	3095.1543134475337	1677.0400994904842	1779.4884067462601
BRANCHED-CHAIN-AA-SYN-PWY	6029.297202060842	6069.228369101011	5504.287199107644	8567.456798496736	7257.544060265569
CALVIN-PWY	6807.240643067267	6180.936299686579	6114.013739634858	8294.036567442632	6638.087839337172
CATECHOL-ORTHO-CLEAVAGE-PWY	0.0	0.12	0.12	0.0	0.0
CENTFERM-PWY	1248.8234262898488	574.8290863735846	39.85974068528608	223.98892683135756	141.99309635913008
COA-PWY	5535.642240945591	4935.468607563578	4977.474528725368	7214.090534399574	5880.84339283969
COBALSYN-PWY	5221.530407072987	4159.938008188353	4646.671078471522	4594.699001890467	4395.911425441357
CODH-PWY	583.7296988817761	601.2746831350111	471.9508569149498	278.6724792760659	246.27647481897677
COLANSYN-PWY	3304.364966586695	3235.986717153607	2766.066117402281	4762.909286950264	2925.4426617660847
COMPLETE-ARO-PWY	5910.447681919739	5845.313635974022	5474.715300035117	8205.463312417749	6956.160158388503
DAPLYSINESYN-PWY	4095.89294178652	4277.4011354835375	3862.077743137419	5018.733176473136	5024.772364854213
DENOVOPURINE2-PWY	5520.543952588103	4576.328054641995	4579.874535358242	6646.600906736531	4956.393601095089
DTDPRHAMSYN-PWY	5026.397712122146	4852.451655772412	4126.687433666981	8408.342711621852	6778.997477717707
ECASYN-PWY	466.8284011247136	0.29984633286345985	13.739944710177923	0.0	0.0
ENTBACSYN-PWY	1040.937934490646	0.6397548117804965	30.596663066057953	0.0	0.0
FAO-PWY	750.948562529802	316.881969374833	18.698266174834654	11.339461948388664	37.85314523476448
FASYN-ELONG-PWY	4943.505731662185	5052.256601129776	3993.725089335859	6966.110740097316	4810.933575572722
FASYN-INITIAL-PWY	2477.351356805838	2398.459116860266	2649.2534940883447	740.121796178243	1145.0512157237313
FERMENTATION-PWY	2738.9670640862128	1671.7040243875147	3049.6071223805557	5501.173942148512	2962.8994247525607
FOLSYN-PWY	4992.170183075038	4544.755598507139	3970.0796396980354	6189.730929771346	4904.609611458817
FUC-RHAMCAT-PWY	2664.0209781969247	1602.280374730411	2031.4141333138407	563.2762424721021	891.0454978162045
FUCCAT-PWY	2383.2619582219363	1312.7973335887777	1961.3213096217169	613.9947596733123	835.3994321475749
GALACT-GLUCUROCAT-PWY	1470.0631220206249	1223.7586582341655	1490.8850673727986	1581.4330218129535	1388.7106566419482
GALACTARDEG-PWY	3.982495041423252	39.6273469556367	20.664766626034673	33.056999749608806	24.125202180482827
GALACTUROCAT-PWY	3687.3236098650445	2757.379493458148	3184.30930010073	3946.247897911877	1739.0179306667396
GLCMANNANAUT-PWY	5175.20282961117	922.8128069272519	3798.8354017504093	2208.2289497018783	1872.8188076244282
GLUCARDEG-PWY	344.87902129240035	86.67829613652019	50.911801937704524	49.55815087910302	87.23363923174638
GLUCARGALACTSUPER-PWY	3.982495041423252	39.6273469556367	20.664766626034673	33.056999749608806	24.125202180482827
GLUCONEO-PWY	5354.66403253983	4976.972053786728	4719.41284768855	7343.754263488015	5921.150311864287
GLUCOSE1PMETAB-PWY	527.3374443985969	46.055011515614005	37.407328876325366	298.2064455299558	495.2280876949898
GLUCUROCAT-PWY	1363.7106253217007	1037.5031887352327	1354.0780772271032	1265.8836699871354	1521.4955310706457
GLUTORN-PWY	3670.3393152417902	3948.6897808054396	3752.5304860970205	4775.732683658545	4849.8167586210275
GLYCOCAT-PWY	5490.365349185306	6908.896389901416	5152.394820884215	8880.727875591554	7641.806190911589
GLYCOGENSYNTH-PWY	5129.6806627517235	5178.330260605638	4805.6382502402375	7684.904221072615	7003.538199202338
GLYCOL-GLYOXDEG-PWY	542.7987865113116	0.2398974278094673	21.650262986534628	0.0	9.61246964357617
GLYCOLYSIS	3555.459838774744	3345.1707977396736	2829.4926202705833	8352.815803168061	6730.130596159238
GLYCOLYSIS-E-D	1962.2971961786634	1368.4160176739388	1205.2572194898066	1001.361503516176	912.5723571439571
GLYCOLYSIS-TCA-GLYOX-BYPASS	1328.9388866889094	0.8637915460238064	41.629405871514905	0.0	32.66563635654605
GLYOXYLATE-BYPASS	939.214950326539	0.2399917956322713	22.84601032934573	0.0	9.98774900554364
GOLPDLCAT-PWY	125.29346269236493	14.300740340983541	87.45557592110814	0.0	0.0
HEME-BIOSYNTHESIS-II	404.519545552832	572.2251055127333	392.76096954787783	139.0603196927241	69.74779717468664
HEMESYN2-PWY	941.1739546329326	721.1769944218333	477.0638227540582	436.19242003232006	540.4872001534895
HEXITOLDEGSUPER-PWY	2326.519051347143	200.26485165245418	1831.6126507493352	145.654209974435	353.14996915395506
HISDEG-PWY	1573.6629713188208	1286.2710857501368	813.813161014367	2543.7017488791844	1568.9516016453056
HISTSYN-PWY	4558.309693882658	5152.112118049393	4543.944152953401	7915.07297103182	6211.508044676544
HOMOSER-METSYN-PWY	1474.969838399893	1005.0960956069275	1100.6637210708645	2668.7602479898983	2233.672301183902
HSERMETANA-PWY	1572.1217462081315	865.7605347905074	1150.8467034608723	2838.9662086129742	2414.605027642193
ILEUSYN-PWY	6391.924045491551	6509.193227479447	5833.719590827201	8932.904150886085	7475.415585281939
KDO-NAGLIPASYN-PWY	1348.2903219677423	63.71835067828227	53.17170957250296	7.984884497264317	39.40652068408544
KETOGLUCONMET-PWY	5.979222937876584	0.23987106017191975	0.0	0.0	0.0
LACTOSECAT-PWY	0.0	3.9008531976758642	6.6691502381179495	1.9554483933051843	0.0
LPSSYN-PWY	1368.7211063024724	0.0	53.32889612466713	0.0	0.0
MET-SAM-PWY	2082.787039066864	1443.59653853932	1558.5979331791787	3589.808678098917	3031.7525814154505
METH-ACETATE-PWY	427.97199528884073	184.67046514125246	336.78469877835346	299.9423042667066	286.1266022491024
METHGLYUT-PWY	457.5602809423148	0.2981082856652137	13.993193415165603	0.0	0.0
NAD-BIOSYNTHESIS-II	574.8381425044347	20.194372758764008	49.19137667290895	15.978390282609855	45.70885160783773
NAGLIPASYN-PWY	4452.626850966679	3187.5382197748354	3046.7769100355263	3890.0447792146047	2392.175340968374
NONMEVIPP-PWY	5965.883055177973	5784.057660737836	5433.347851408657	7918.945960784013	6592.05462309302
NONOXIPENT-PWY	8591.955264375138	7207.50823663509	7930.16636729716	9900.623433904666	8824.672126087793
OANTIGEN-PWY	4340.199233167314	3889.95384421192	3634.3214191712395	5992.491774822792	5009.749290956675
ORNARGDEG-PWY	434.1045164553498	0.2797764536378746	12.226002651001773	0.0	0.0
ORNDEG-PWY	500.7846688792633	0.23993338884263113	11.551574087421038	0.0	0.0
P101-PWY	0.0	0.0	0.0	0.0	17.333832315327562
P105-PWY	1501.0898242633637	1.7983502677605872	65.73431417362741	0.0	73.16434667942185
P108-PWY	4691.978731010375	3307.587675055419	3839.977180445304	5608.289200344824	3580.7642560736026
P122-PWY	115.23063528428244	589.0758124152791	498.84244562914944	2121.5211439847735	1787.5006546919549
P124-PWY	135.41171368747806	906.7921010376145	619.8206485795141	2609.480655246151	2501.835550883123
P125-PWY	45.20176620672841	22.779531411403248	38.867725102253566	9.547377352650116	43.78279612758878
P161-PWY	1703.2527596425718	3451.8389522110438	2126.5167438236613	5386.962498536586	4860.906169514796
P162-PWY	2292.4168544722625	277.40977643215797	1249.3074856936369	34.67597263006278	18.04576855761475
P163-PWY	1875.9828499981509	133.16892711626826	967.6079071195294	36.26371890724703	109.48240730754748
P164-PWY	938.7030361687513	784.6191184320775	447.26026216240103	458.8285687138016	726.6908459345744
P221-PWY	13.955427733015252	53.076952815898245	43.55674785294818	47.726760565170025	131.86700472188122
P23-PWY	1978.0213813255295	1232.7593801191908	1109.3752611710718	1050.0150596909073	1000.2689250354503
P281-PWY	0.0	0.2384987837368238	0.23818243436016828	0.0	0.0
P4-PWY	3228.741498142041	2088.5896857226962	2516.3648630481894	3905.224816039541	3697.084647368644
P42-PWY	5430.13167564081	4827.333150877214	4703.28887292678	8558.866866138662	5439.529360215888
